location_code,city,state,country,location_code_parent,country_iso_code,location_type
1020281,"Cuba","Missouri","United States",21157,US,City
1020282,"Dadeville","Missouri","United States",21157,US,City
1020283,"De Kalb","Missouri","United States",21157,US,City
1020284,"De Soto","Missouri","United States",21157,US,City
1020285,"Dearborn","Missouri","United States",21157,US,City
1020286,"Deepwater","Missouri","United States",21157,US,City
1020287,"Deering","Missouri","United States",21157,US,City
1020288,"Defiance","Missouri","United States",21157,US,Neighborhood
1020289,"Delta","Missouri","United States",21157,US,City
1020290,"Dexter","Missouri","United States",21157,US,City
1020291,"Diamond","Missouri","United States",21157,US,City
1020292,"Dittmer","Missouri","United States",21157,US,City
1020293,"Dixon","Missouri","United States",21157,US,City
1020294,"Doniphan","Missouri","United States",21157,US,City
1020295,"Dora","Missouri","United States",21157,US,City
1020296,"Drexel","Missouri","United States",21157,US,City
1020297,"Dudley","Missouri","United States",21157,US,City
1020298,"Eagle Rock","Missouri","United States",21157,US,City
1020299,"Eagleville","Missouri","United States",21157,US,City
1020300,"Earth City","Missouri","United States",21157,US,City
1020301,"East Lynne","Missouri","United States",21157,US,City
1020302,"East Prairie","Missouri","United States",21157,US,City
1020303,"Edgar Springs","Missouri","United States",21157,US,City
1020304,"Edina","Missouri","United States",21157,US,City
1020305,"Edwards","Missouri","United States",21157,US,City
1020306,"El Dorado Springs","Missouri","United States",21157,US,City
1020307,"Eldon","Missouri","United States",21157,US,City
1020308,"Ellington","Missouri","United States",21157,US,City
1020309,"Ellsinore","Missouri","United States",21157,US,City
1020310,"Elsberry","Missouri","United States",21157,US,City
1020311,"Eminence","Missouri","United States",21157,US,City
1020312,"Eolia","Missouri","United States",21157,US,City
1020313,"Essex","Missouri","United States",21157,US,City
1020314,"Eugene","Missouri","United States",21157,US,City
1020315,"Eureka","Missouri","United States",21157,US,City
1020316,"Everton","Missouri","United States",21157,US,City
1020317,"Ewing","Missouri","United States",21157,US,City
1020318,"Excelsior Springs","Missouri","United States",21157,US,City
1020319,"Exeter","Missouri","United States",21157,US,City
1020320,"Fair Grove","Missouri","United States",21157,US,City
1020321,"Fair Play","Missouri","United States",21157,US,City
1020322,"Fairfax","Missouri","United States",21157,US,City
1020323,"Falcon","Missouri","United States",21157,US,City
1020324,"Farber","Missouri","United States",21157,US,City
1020325,"Farmington","Missouri","United States",21157,US,City
1020326,"Faucett","Missouri","United States",21157,US,City
1020327,"Fayette","Missouri","United States",21157,US,City
1020328,"Fenton","Missouri","United States",21157,US,City
